Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Hongsen K., Melhan M., Handika N., Sentosa B.O.B.","57223217215;57223245216;56269940900;57200689345;","Parameterization of Oil Palm Shell Concrete on Numerical Damage Model Based on Laboratory Experiment using Digital Image Correlation",2021,"Journal of Physics: Conference Series","1858","1","012029","","",,,"10.1088/1742-6596/1858/1/012029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105262833&doi=10.1088%2f1742-6596%2f1858%2f1%2f012029&partnerID=40&md5=e79d152be595f0784fdacce68dc92e6f",,"Compression testing; Concrete aggregates; Image analysis; Palm oil; Petroleum industry; Strain measurement; Tensile strength; Compression strength; Computational model; D. digital image correlation (DIC); Digital image correlations; Finite element codes; Laboratory experiments; Split tensile strengths; Structural concretes; Light weight concrete",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85105262833
"Law M.C., Liew E.L., Chang S.L., Chan Y.S., Leo C.P.","57195150775;57069851000;57069260700;57205349238;57210845670;","Modelling microwave heating of discrete samples of oil palm kernels",2016,"Applied Thermal Engineering","98",,,"702","726",,23,"10.1016/j.applthermaleng.2016.01.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955165984&doi=10.1016%2fj.applthermaleng.2016.01.009&partnerID=40&md5=a5dc182c7a78869fbe5c02410c792301","Drying; Heating; Microwave; Modelling; Oil palm kernels; Thermal gradient","Atmospheric temperature; Drying; Effluent treatment; Effluents; Electric fields; Fruits; Heat transfer; Heating; Microwave heating; Microwaves; Milling (machining); Models; Thermal gradients; Condensate production; Destructive interference; Heat transfer mechanism; Microwave heating process; Oil palm; Palm oil mill effluents; Sterilization process; Surface temperatures; Palm oil",Article,"Final","",Scopus,2-s2.0-84955165984
"Abdullah A.H., Adorn A.H., Shakaff A.Y.Md., Ahmad M.N., Saad M.A., Tan E.S., Fikri N.A., Markom M.A., Zakaria A.","26029734700;26655264800;8721012500;7402896132;57212261330;57210106471;26029813700;55677087885;36560557700;","Electronic nose system for ganoderma detection",2011,"Sensor Letters","9","1",,"353","358",,11,"10.1166/sl.2011.1479","https://www.scopus.com/inward/record.uri?eid=2-s2.0-83255175163&doi=10.1166%2fsl.2011.1479&partnerID=40&md5=0815cad440e0d1ea5efe2c8aaee0fdbd","Artificial Neural Network; E-Nose; Microcontroller; Odour Capturing Module; PCA","Artificial Neural Network; Cost effective; E-Nose; Early detection system; Electronic nose (e-nose); Electronic nose systems; Fruit ripeness; Ganoderma; Growing demand; Human expert; Metal oxide sensors; Off-the-shelf components; Palm oil; PCA; Plant disease; Rapid response; SIMPLE algorithm; Algorithms; Artificial organs; Disease control; Forestry; Metallic compounds; Microcontrollers; Sensory aids; Vegetable oils; Volatile organic compounds; Neural networks; Algorithms; Detection; Diseases; Forestry; Odor Control; Prototypes; Quality Control; Vegetable Oil; Voc",Conference Paper,"Final","",Scopus,2-s2.0-83255175163
"Beckwith R., Teibel D., Bowen P.","7004103242;9335397400;7102327180;","Unwired wine: Sensor networks in vineyards",2004,"Proceedings of IEEE Sensors","2",,"T2L-A.1","561","564",,54,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-27944461498&partnerID=40&md5=64a3392e8936f7a7bd4beb0e2af2a70f",,"Agriculture; Crops; Investments; Monitoring; Sensor data fusion; Wireless telecommunication systems; Cultural practices; Heat accumulation; Return on investment (ROI); Wireless sensor networks; Sensors; Agriculture; Farm Crops; Monitoring; Sensors",Conference Paper,"Final","",Scopus,2-s2.0-27944461498
"Fleiss S., Waddell E.H., Bala Ola B., Banin L.F., Benedick S., Bin Sailim A., Chapman D.S., Jelling A., King H., McClean C.J., Yeong K.L., Hill J.K.","57210189838;56720473100;55599950400;36602109100;6507649982;57217170116;15753693400;57203912892;36468594300;6603564901;57164613300;54792020400;","Conservation set-asides improve carbon storage and support associated plant diversity in certified sustainable oil palm plantations",2020,"Biological Conservation","248",,"108631","","",,3,"10.1016/j.biocon.2020.108631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086563387&doi=10.1016%2fj.biocon.2020.108631&partnerID=40&md5=4c9829ed588618339dbe68d5ac8f24ac","Climate mitigation; Conservation set-aside; Forest fragment; Oil palm; Sustainable agriculture; Tropical forest","agricultural land; biodiversity; carbon sequestration; conservation status; deforestation; geodiversity; management practice; plantation; set-aside; species diversity; sustainability; tree; Borneo; Elaeis",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85086563387
"Law M.C., Balasundram S.K., Husni M.H.A., Ahmed O.H., Harun M.H.","35272879700;13403041500;6603947433;7005843323;33167669000;","Spatial variability of soil organic Carbon in oil palm",2010,"International Journal of Soil Science","5","4",,"252","262",,,"10.3923/ijss.2009.93.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856461319&doi=10.3923%2fijss.2009.93.103&partnerID=40&md5=a641251a09582a62e802cde21bac8642","Carbon sequestration; Oil palm; Operational areas; Site-specific management; Soil organic carbon; Spatial variability","carbon sequestration; contour map; GPS; interpolation; monocotyledon; organic soil; plantation; sampling; soil carbon; spatial variation; variogram; Elaeis",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84856461319
"Law M.C., Balasundram S.K., Husni M.H.A., Ahmed O.H., Hanif Harun M.","35272879700;13403041500;6603947433;7005843323;35272024400;","Spatial variability of soil organic carbon in oil palm",2009,"International Journal of Soil Science","4","4",,"93","103",,20,"10.3923/ijss.2009.93.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350707799&doi=10.3923%2fijss.2009.93.103&partnerID=40&md5=9e53cb0bbaeafeefab13634fef7f1f90","Carbon sequestration; Oil palm; Operational areas; Site-specific management; Soil organic carbon; Spatial variability","carbon sequestration; estimation method; GPS; organic carbon; soil organic matter; spatial variation; statistical analysis; tree; Elaeis",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-70350707799
"Yonemoto Y., Nomura K., Ide M., Inoue H., Majikina M., Okuda H.","13607432900;7402536505;9635050500;57205784842;6507581507;7202093224;","Index for harvesting time of white sapote (Casimiroa edulis Llave & Lex.) cv. 'Cuccio'",2006,"Journal of Horticultural Science and Biotechnology","81","1",,"18","22",,4,"10.1080/14620316.2006.11512023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-31344438429&doi=10.1080%2f14620316.2006.11512023&partnerID=40&md5=f4aeaf32538764fe01e23321e40401dd",,"Casimiroa; Casimiroa edulis",Article,"Final","",Scopus,2-s2.0-31344438429
"Sudarsono A., Rasyid M.U.H.A., Yuliana M.","45961439100;55569020700;57189238414;","An implementation of anonymous authentication system in wireless sensor network using vlr group signature",2017,"Proceedings - 2016 International Electronics Symposium, IES 2016",,,"7861017","277","282",,,"10.1109/ELECSYM.2016.7861017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034047678&doi=10.1109%2fELECSYM.2016.7861017&partnerID=40&md5=b9491fa68ea098cb0c95eb5fa79bc184","anonymous authentication; confidentiality; privacy; VLR group signature; wireless networks","Data privacy; Gateways (computer networks); Sensor nodes; Wireless networks; Wireless sensor networks; Anonymous authentication; confidentiality; Data centers; Gateway nodes; Group signatures; Sensory information; Wireless connection; Authentication",Conference Paper,"Final","",Scopus,2-s2.0-85034047678
"Dhandapani S., Evers S.","57204707397;53163448500;","Oil palm ‘slash-and-burn’ practice increases post-fire greenhouse gas emissions and nutrient concentrations in burnt regions of an agricultural tropical peatland",2020,"Science of the Total Environment","742",,"140648","","",,5,"10.1016/j.scitotenv.2020.140648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087334351&doi=10.1016%2fj.scitotenv.2020.140648&partnerID=40&md5=17b0bc287c940cf917c5ffeb596d3f86","Burnt peatlands; Carbon dioxide; Land use change; Methane; Oil palm; Tropical peat fire","Agricultural robots; Agriculture; Carbon dioxide; Electric conductivity; Eutrophication; Fires; Gas emissions; Nutrients; Palm oil; Peat; Redox reactions; Soil surveys; Tropics; Wetlands; Electrical conductivity; Management practices; Measurement points; Nutrient concentrations; Oil palm plantations; Other properties; Redox potentials; Regional impacts; Greenhouse gases; agricultural development; angiosperm; carbon emission; concentration (composition); greenhouse gas; nutrient dynamics; peatland; seasonal variation; agricultural land; agricultural procedures; Article; carbon footprint; Elaeis; electric conductivity; environmental management; gravimetry; microwave radiation; nutrient concentration; oil palm slash and burn practice; oxidation; oxidation reduction potential; oxidation reduction state; peatland; pH; physical chemistry; plantation; priority journal; soil moisture; soil property; tropics; Southeast Asia; Elaeis",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85087334351
[No author name available],[No author id available],"IOP Conference Series: Materials Science and Engineering",2016,"IOP Conference Series: Materials Science and Engineering","138","1",,"","",151,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986300631&partnerID=40&md5=5d92aec1701dc3432b8dcc2f94f329cb",,,Conference Review,"Final","",Scopus,2-s2.0-84986300631
"Sarkar A., Venkataramana P., Harathi N., Jyothsna T., Teja N.V.","57190237062;57211460791;57201685301;57215604176;57215600907;","Design and optimization of ZnO nanostructured SAW-based ethylene gas sensor with modified electrode orientation",2020,"Advances in Science, Technology and Engineering Systems","5","1",,"263","266",,1,"10.25046/aj050133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081327376&doi=10.25046%2faj050133&partnerID=40&md5=898bf85cd7293cc10267f36ca9e36988","Hexagonal ZnO nanorod; Interdigitated transducer; Sensitivity; Surface acoustic wave",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85081327376
"Merten J., Stiegler C., Hennings N., Purnama E.S., Röll A., Agusta H., Dippold M.A., Fehrmann L., Gunawan D., Hölscher D., Knohl A., Kückes J., Otten F., Zemp D.C., Faust H.","57190028991;57213586550;57004922100;57203929618;56677614800;57190020357;36052339100;15070580900;23105874800;7004015391;6602521000;57219053688;57073442600;56449397700;16244836400;","Flooding and land use change in Jambi Province, Sumatra: Integrating local knowledge and scientific inquiry",2020,"Ecology and Society","25","3","14","1","29",,3,"10.5751/ES-11678-250314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091177743&doi=10.5751%2fES-11678-250314&partnerID=40&md5=53ada67081547b4946bd9bf1d5112dd1","Ecohydrology; Flooding; Global change; Indonesia; Interdisciplinary analysis; Land use conversion; Local ecological knowledge; Oil palm; Rubber","climate change; deforestation; ecohydrology; ecosystem service; flood control; flooding; global change; interdisciplinary approach; land use change; plantation; rubber; traditional knowledge; vegetable oil; Greater Sunda Islands; Indonesia; Jambi [Indonesia]; Sumatra; Sunda Isles; Elaeis",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85091177743
"Ikhsan M., Ramli R.","57208733511;36004906900;","Measurements and analysis of crystal structures of activated carbon of empty fruit bunch from oil palm biomass waste",2020,"Journal of Physics: Conference Series","1528","1","012031","","",,,"10.1088/1742-6596/1528/1/012031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087044655&doi=10.1088%2f1742-6596%2f1528%2f1%2f012031&partnerID=40&md5=654ea859683ca2e2bd4249a511f45677",,"Activated carbon; Biomass; Charcoal; Crystals; Fruits; Palm oil; Sodium hydroxide; Activated agent; Activating agents; Chemical process; Economic added value; Empty fruit bunches; Oil palm biomass; Palm oil empty fruit bunch; Technological development; Nitrogen compounds",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85087044655
"Boerner W.-M.","7006670998;","Future perspectives of SAR Polarimetry with applications to multi-parameter fully polarimetric POLSAR Remote Sensing & Geophysical Stresschange monitoring with implementation to agriculture, forestry & aqua-culture plus natural disaster assessment & monitoring within the equatorial/subequatorial belts by implementation of equatorially orbiting POLSAR single and tandem satellite sensors",2014,"Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR","Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR",,"6857053","1341","1344",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991578331&partnerID=40&md5=ff026993381c526250ed4dae863a2eb5",,"Damage detection; Disaster prevention; Disasters; Forestry; Geophysics; Hazards; Mineral resources; Orbits; Palm oil; Patient monitoring; Polarimeters; Radar; Remote sensing; Satellites; Storms; Synthetic aperture radar; Damage assessments; Ethanol production; Future perspectives; Local weather conditions; Monitoring capabilities; Point measurement; Satellite remote sensing; Satellite sensors; Space-based radar",Conference Paper,"Final","",Scopus,2-s2.0-84991578331
"Kabbashi N.A., Zahangir Alam M.D., Ainuddin M.","35487847300;35568643200;56623096500;","Bio-composting process development by SSF for utilization agro-industrial wastes",2007,"IFMBE Proceedings","15",,,"464","468",,4,"10.1007/978-3-540-68017-8_117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928883600&doi=10.1007%2f978-3-540-68017-8_117&partnerID=40&md5=2a452450a377e2d6748d690cfaa63749","C/N ratio; GI; Microorganisms; Oil palm waste; SSF","Bioconversion; Biomedical engineering; Composting; Effluents; Geographic information systems; Industrial wastes; Microorganisms; Plant life extension; Quality control; Waste treatment; Agro-industrial wastes; C/N ratio; Environmental problems; Oil palm waste; Palm oil mill effluents; Plant growth enhancements; Solid state bioconversions; Total nitrogen content; Palm oil",Conference Paper,"Final","",Scopus,2-s2.0-84928883600
"Man N., Hassim H., Sehu N.I., Norasma N.","35435758400;57215410227;57215423485;57224070454;","Drone services and application for paddy fertilizing and oil palm mapping for climate change",2020,"40th Asian Conference on Remote Sensing, ACRS 2019: Progress of Remote Sensing Technology for Smart Future",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105830458&partnerID=40&md5=6b78a5f83fa07946de33740ae9fd931e","Drone; Fertilizing; Mapping; Oil palm; Paddy","Agricultural robots; Agriculture; Aircraft manufacture; Antennas; Behavioral research; Decision making; Drones; Embedded systems; Engineering education; Food supply; Global positioning system; Grain elevators; Mapping; Palm oil; Petroleum industry; Productivity; Remote sensing; Soybean oil; Sunflower oil; Sustainable development; Water management; Agricultural productivity; Agricultural technologies; Fertilizing; Oil palm; Paddy; Services and applications; Socio-economic development; Sustainable farming system; Climate change",Conference Paper,"Final","",Scopus,2-s2.0-85105830458
"Leekul P., Chivapreecha S., Phongcharoenpanich C., Krairiksh M.","56487998600;8601813200;6603712247;6603834855;","Rician k-Factors-Based Sensor for Fruit Classification by Maturity Stage",2016,"IEEE Sensors Journal","16","17","7492190","6559","6565",,12,"10.1109/JSEN.2016.2581209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982161977&doi=10.1109%2fJSEN.2016.2581209&partnerID=40&md5=478da1e79ef2caaef8f751e5a10ab990","Fruit classification; Rician k-factor; sensor for durian classification; wireless communications channel","Wireless telecommunication systems; Maturity stages; Non destructive; Non-invasive sensors; Reflected waves; Rician k factors; Scattered waves; Sensor systems; Wireless communications; Fruits",Article,"Final","",Scopus,2-s2.0-84982161977
"Tao H.H., Donough C., Hoffmann M.P., Lim Y.L., Hendra S., Rahmadsyah, Abdurrohim G., Indrasuara K., Lubis A., Dolong T., Oberthür T.","56988497400;6506517446;56785023200;57191109795;57195619909;56286808700;56287369100;56287877900;55628302100;56287661800;35871410000;","Effects of best management practices on dry matter production and fruit production efficiency of oil palm",2017,"European Journal of Agronomy","90",,,"209","215",,6,"10.1016/j.eja.2017.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029279848&doi=10.1016%2fj.eja.2017.07.008&partnerID=40&md5=aa3b1b80bec16d77c89fd6065793038e","Best management practices; Bunch index; Dry matter partitioning; Dry matter production; Fruit production efficiency; Oil palm; Rainfall; Site variations; Soil organic carbon","aboveground biomass; best management practice; biological production; biomass allocation; dry matter; efficiency measurement; fruit production; harvesting; index method; sustainable development; Borneo; Greater Sunda Islands; Indonesia; Kalimantan; Sumatra; Sunda Isles; Elaeis",Article,"Final","",Scopus,2-s2.0-85029279848
"Ruslan A.A., Salleh S.M., Hatta S.F.W.M., Sajak A.A.B.","57224501870;57224528260;57215847847;56029277200;","IoT Soil Monitoring based on LoRa Module for Oil Palm Plantation",2021,"International Journal of Advanced Computer Science and Applications","12","5",,"215","220",,,"10.14569/IJACSA.2021.0120527","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107776149&doi=10.14569%2fIJACSA.2021.0120527&partnerID=40&md5=c0f8c28b5e7b2a9a41359357acce7337","Arduino; Internet of Things (IoT); Low Range (LoRa); Organic Light-Emitting Diodes (OLED); ThingSpeak",,Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85107776149
"Altaf S., Ahmad S., Zaindin M., Soomro M.W.","55655967100;57209916514;26536962700;55150994000;","Xbee-based wsn architecture for monitoring of banana ripening process using knowledge-level artificial intelligent technique",2020,"Sensors (Switzerland)","20","14","4033","1","17",,5,"10.3390/s20144033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088159977&doi=10.3390%2fs20144033&partnerID=40&md5=aa816d70cb095038f015c1b456bddfe9","Artificial neural network; Banana ripening; Ethylene gas; Fruit condition monitoring; Wireless sensor network","Backpropagation; Condition monitoring; Digital storage; Fruits; Losses; Network architecture; Sensor nodes; Accurate prediction; Artificial intelligent techniques; Classification performance; Neural network (nn); Real time monitoring; Recent researches; Wireless sensor network (WSNs); Wireless sensor node; Neural networks",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85088159977
"Boerner W.-M.","7006670998;","Future perspectives of SAR polarimetry with applications to multi-parameter fully polarimetric POLSAR remote sensing & geophysical stress-change monitoring within the equatorial/sub-equatorial belts by implementation of equatorially orbiting POLSAR single and tandem satellite sensors - Focused on Malaysia and Indonesia",2015,"International Conference on Space Science and Communication, IconSpace","2015-September",,"7283803","375","378",,,"10.1109/IconSpace.2015.7283803","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962493300&doi=10.1109%2fIconSpace.2015.7283803&partnerID=40&md5=1b9470e65afb08e192efec02e5b44402",,"Damage detection; Disaster prevention; Disasters; Geophysics; Hazards; Mineral resources; Orbits; Palm oil; Patient monitoring; Polarimeters; Remote sensing; Satellites; Space optics; Storms; Damage assessments; Ethanol production; Future perspectives; Local weather conditions; Monitoring capabilities; Point measurement; Satellite remote sensing; Satellite sensors; Space-based radar",Conference Paper,"Final","",Scopus,2-s2.0-84962493300
"Sarpan N., Kok S.-Y., Chai S.-K., Fitrianto A., Nuraziyan A., Zamzuri I., Ong-Abdullah M., Ooi S.-E.","36667388000;56875270500;57023147100;36179598200;57024155400;34868067000;13908226200;23486608500;","A model for predicting flower development in elaeis guineensis jacq.",2015,"Journal of Oil Palm Research","27","4",,"315","325",,4,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952059657&partnerID=40&md5=fbe93c1219b9c6a3f0ca9fc23757dc6d","Flower development; Histology; Ordinal logistic regression",,Article,"Final","",Scopus,2-s2.0-84952059657
"Rahman N., Bruun T.B., Giller K.E., Magid J., van de Ven G.W.J., de Neergaard A.","57204498349;12239562300;7005321356;55916174500;6601957289;6603430055;","Soil greenhouse gas emissions from inorganic fertilizers and recycled oil palm waste products from Indonesian oil palm plantations",2019,"GCB Bioenergy","11","9",,"1056","1074",,13,"10.1111/gcbb.12618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070876444&doi=10.1111%2fgcbb.12618&partnerID=40&md5=7852fd362998183052df182a53a39da3","methane; nitrogen fertilizer; nitrous oxide; nutrient management; organic amendment; plant residue","Emission control; Gas emissions; Greenhouse gases; Metabolism; Methane; Nitrogen fertilizers; Nitrogen oxides; Nutrients; Piles; Recycling; Soil moisture; Sustainable development; Urea; Additional experiments; Commercial plantation; Field-based measurements; Inorganic fertilizers; Nitrous oxide; Nutrient management; Organic amendments; Plant residues; Palm oil; fertilizer; greenhouse gas; industrial waste; methane; nitrogen; nitrous oxide; nutrient cycling; nutrient dynamics; organic matter; soil amendment; soil emission; Indonesia; Elaeis",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85070876444
"Nasir S., Hussein M.Z., Zainal Z., Yusof N.A.","57195138515;7201898729;7004044551;57187020900;","Development of New Carbon-Based Electrode Material from Oil Palm Waste-Derived Reduced Graphene Oxide and Its Capacitive Performance Evaluation",2019,"Journal of Nanomaterials","2019",,"1970365","","",,1,"10.1155/2019/1970365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076885642&doi=10.1155%2f2019%2f1970365&partnerID=40&md5=179624c1d4e9da85f443fa511147c292",,"Capacitance; Cyclic voltammetry; Electrodes; Nanostructured materials; Palm oil; Supercapacitor; Capacitive performance; Carbon-based electrodes; Electrochemical measurements; Empty fruit bunches; Galvanostatic charge/discharge; Reduced graphene oxides; Specific capacitance; Supercapacitor application; Graphene",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85076885642
"Fito P., Castro-Giráldez M., Fito P.J., Chenoll C.","14622677500;35309788700;23089848100;16743518900;","Development of a dielectric spectroscopy technique for the determination of apple (Granny Smith) maturity",2010,"Innovative Food Science and Emerging Technologies","11","4",,"749","754",,38,"10.1016/j.ifset.2010.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049426054&doi=10.1016%2fj.ifset.2010.08.002&partnerID=40&md5=eca2239226fffa7cd95f587af871b745","Climacteric fruits; Dielectric properties; Dielectric spectra; Dielectric spectroscopy; Malic acid; Maturity index","Agilent; Apple fruits; Climacteric fruits; Concrete applications; Dielectric measurements; Dielectric spectra; Dipolar relaxation frequency; Emerging technologies; Food science; Fruit maturity; Good correlations; Loss factor; Malic acids; Maturity indices; Non-destructive control; Non-destructive technique; Open-ended coaxial probe; Storage time; Sugar content; Vector network analyzers; Acids; Dielectric devices; Dielectric properties; Dielectric spectroscopy; Electric network analysis; Electric network analyzers; Innovation; Sugar (sucrose); Fruits; Malus x domestica",Article,"Final","",Scopus,2-s2.0-78049426054
"Castro-Giráldez M., Fito P.J., Chenoll C., Fito P.","35309788700;23089848100;16743518900;14622677500;","Development of a dielectric spectroscopy technique for determining key chemical components of apple maturity",2010,"Journal of Agricultural and Food Chemistry","58","6",,"3761","3766",,12,"10.1021/jf903338b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949816796&doi=10.1021%2fjf903338b&partnerID=40&md5=8470790fd807ece9d82d389194b322ba","Apple ripening; Climacteric fruits; Dielectric properties; Dielectric spectra; Dielectric spectroscopy; Thiault index","carbohydrate; apple; article; chemistry; evaluation; fruit; methodology; physiology; quality control; spectroscopy; Carbohydrates; Fruit; Malus; Quality Control; Spectrum Analysis; Malus x domestica",Article,"Final","",Scopus,2-s2.0-77949816796
"Ratnam M.M., Lim J.H., Abdul Khalil H.P.S.","7007162377;42261905000;6601912918;","Study of three-dimensional deformation of a pallet using phase-shift shadow moiré and finite-element analysis",2005,"Experimental Mechanics","45","1",,"9","17",,8,"10.1177/0014485105051003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-24144432802&doi=10.1177%2f0014485105051003&partnerID=40&md5=1d5e50b19a2a3c0cef1218e0f5821989","Deformation; Pallet; Shadow moiré","Computer aided analysis; Computer aided design; Deformation; Elastic moduli; Fiber reinforced materials; Finite element method; Mathematical models; Oils and fats; Three dimensional; Deformation gradient; Oil-palm fiber reinforced composite material; Phase-shift shadow method; Static deformation; Three-dimensional deformation; Pallets; finite element method",Article,"Final","",Scopus,2-s2.0-24144432802
"Yurany Dayanna Rivera M., Daniel Gerardo Cayón S., Jesús Edgardo López M.","56037808600;56037916600;56038174700;","Physiological and morphological characterization of american oil palms (Elaeis oleifera HBK cortes) and their hybrids (Elaeis oleifera × Elaeis guineensis) on the indupalma plantation [Caracterización fisiológica y morfológica de palmas americanas de aceite (Elaeis oleifera HBK cortés) y sus híbridos (Elaeis oleifera × Elaeis guineensis) de la plantación indupalma]",2013,"Agronomia Colombiana","31","3",,"314","323",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894088140&partnerID=40&md5=d9a12e591804f727e94a5d82ee98109d","Chlorophyll content; Growth; Photosynthesis; Plant breeding; Stomata",,Article,"Final","",Scopus,2-s2.0-84894088140
"Yang C., Lee W.S.","8297096200;57189999612;","Spectral signatures of blueberry fruits and leaves",2011,"American Society of Agricultural and Biological Engineers Annual International Meeting 2011, ASABE 2011","4",,,"3232","3243",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255168504&partnerID=40&md5=8a972b4427af860912d70ff7b1025d5d","Blueberry; Categorical analysis; Logistic regression; Reflectance; Yield mapping","Engineers; Fruits; Infrared devices; Mathematical models; Principal component analysis; Reflection; Regression analysis; Blueberry; Categorical analysis; Classification models; Classification regression; Florida; Fruit maturity; Independent variables; Logistic regression; Low costs; Multinomial logistic regression; Multinomial logistic regression models; NIR regions; Prediction accuracy; Prediction model; Spectral characteristics; Spectral reflectances; Spectral signature; Ultra-violet; Vegetation index; Visible and near infrared; Yield mapping; Mapping",Conference Paper,"Final","",Scopus,2-s2.0-81255168504
"Tranbarger T.J., Fooyontphanich K., Roongsattham P., Pizot M., Collin M., Jantasuriyarat C., Suraninpong P., Tragoonrung S., Dussert S., Verdeil J.-L., Morcillo F.","6602333848;56966654600;15060700700;55341873700;22833814800;6507379922;55502194000;6602966725;6701651827;6602867928;6701313116;","Transcriptome analysis of cell wall and NAC domain transcription factor genes during Elaeis guineensis fruit ripening: Evidence for widespread conservation within monocot and eudicot lineages",2017,"Frontiers in Plant Science","8",,"603","","",,15,"10.3389/fpls.2017.00603","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018930021&doi=10.3389%2ffpls.2017.00603&partnerID=40&md5=5f14b8c07902519897ff7336d2eed966","Cell wall; Ethylene; Mesocarp; Monocotyledon; NAC domain; Oil palm; Ripening",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85018930021
"Benson B., Kastner R.","24921440300;7004638515;","Design of a low-cost underwater acoustic modem",2017,"Optical, Acoustic, Magnetic, and Mechanical Sensor Technologies",,,,"175","209",,1,"10.1201/b11487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051994600&doi=10.1201%2fb11487&partnerID=40&md5=a596d7c57c83c18bd40ddc3e67d10cf6",,,Book Chapter,"Final","",Scopus,2-s2.0-85051994600
"Legros S., Mialet-Serra I., Caliman J.-P., Siregar F.A., Clément-Vidal A., Dingkuhn M.","55112651200;18836696300;6506152080;6504711098;8604357200;6701914677;","Phenology and growth adjustments of oil palm (Elaeis guineensis) to photoperiod and climate variability",2009,"Annals of Botany","104","6",,"1171","1182",,43,"10.1093/aob/mcp214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350520852&doi=10.1093%2faob%2fmcp214&partnerID=40&md5=50114afe1e177c3a07ad3140b53d50a2","Drought; Elaeis guineensis; Flowering; Phenotypic plasticity; Photoperiodism; Phyllochron; Radiation use efficiency; Sink-source relationships","water; climate variation; drought; flowering; fruit production; growth response; light use efficiency; maturation; monocotyledon; morphology; phenology; phenotypic plasticity; photoperiod; seasonality; soil water; source-sink dynamics; water budget; yield response; Arecaceae; article; biomass; climate change; computer simulation; drought; evapotranspiration; genetics; genotype; growth, development and aging; Indonesia; photoperiodicity; physiology; plant leaf; plant stem; season; soil; temperature; vapor pressure; Arecaceae; Biomass; Climate Change; Computer Simulation; Droughts; Genotype; Indonesia; Photoperiod; Plant Leaves; Plant Stems; Plant Transpiration; Seasons; Soil; Temperature; Vapor Pressure; Water; Asia; Eurasia; Indonesia; Southeast Asia; Elaeis; Elaeis guineensis",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-70350520852
