Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Surya Kiran, M., Niranjana, G.","57200853078;56635856200;","A research on fruit maturity detection techniques",2019,"International Journal of Innovative Technology and Exploring Engineering","8","6 Special Issue 4",,"1470","1473",,,"10.35940/ijitee.F1300.0486S419","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071436380&doi=10.35940%2fijitee.F1300.0486S419&partnerID=40&md5=6d95c0169bc33547f9553a1883c31c6f",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85071436380
"Surya Kiran, M., Niranjana, G.","57200853078;56635856200;","A review on fruit maturity detection techniques",2019,"International Journal of Innovative Technology and Exploring Engineering","8","6",,"444","447",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067348469&partnerID=40&md5=f162e4c34731ac21022549ab470427f6",Article,"Final","",Scopus,2-s2.0-85067348469
"Amirruddin, A.D., Muharam, F.M., Karam, D.S.","56572827000;56403414900;37110895700;","Evaluation of ground-level and space-borne sensor as tools in monitoring nitrogen nutrition status in immature and mature oil palm",2018,"Journal of Plant Nutrition","41","3",,"371","383",,1,"10.1080/01904167.2017.1385804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033435410&doi=10.1080%2f01904167.2017.1385804&partnerID=40&md5=e31fe7cb4b8eb3e7e05583344a0a0626",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85033435410
"Sagar, B.V., Akbar, A.F.M., Raoof, M.A.","53869598800;53868866400;53869644300;","An in vitro evaluation of fungicides against anthracnose of oil palm caused by colletoirichum gloeosporioides (Penz.)",2006,"Pestology","30","4",,"39","40",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845975243&partnerID=40&md5=24ddbcc72873b7a4902b2bd044f3f239",Article,"Final","",Scopus,2-s2.0-33845975243
"Amirruddin, A.D., Muharam, F.M., Mazlan, N.","56572827000;56403414900;6507068189;","Assessing leaf scale measurement for nitrogen content of oil palm: Performance of discriminant analysis and support vector machine classifiers",2017,"International Journal of Remote Sensing","38","23",,"7260","7280",,3,"10.1080/01431161.2017.1372862","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045735606&doi=10.1080%2f01431161.2017.1372862&partnerID=40&md5=d61f57b30284b68003c4aea1969a1157",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85045735606
"Scimeca, L., Maiolino, P., Cardin-Catalan, D., Pobil, A.P.D., Morales, A., Iida, F.","57203139768;39863246300;57205402332;32668050800;7202367874;55087022900;","Non-destructive robotic assessment of mango ripeness via multi-point soft haptics",2019,"Proceedings - IEEE International Conference on Robotics and Automation","2019-May",,"8793956","1821","1826",,8,"10.1109/ICRA.2019.8793956","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071423046&doi=10.1109%2fICRA.2019.8793956&partnerID=40&md5=f43d91d06667331f100ba595bc79933c",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85071423046
"Fowotade, S.A., Yusof, N.A., Abdullah, J., Sulaiman, Y., Abd Rahman, S.F.","57207830879;57187020900;21742117500;13806413500;36344682300;","Enhanced electrochemical sensing of secondary metabolites in oil palms for early detection of Ganoderma boninense based on novel nanoparticle-chitosan functionalized multi-walled carbon nanotube platform",2019,"Sensing and Bio-Sensing Research","23",,"100274","","",,7,"10.1016/j.sbsr.2019.100274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063012498&doi=10.1016%2fj.sbsr.2019.100274&partnerID=40&md5=bfad7665d4be8a64c82466381f3062af",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85063012498
"Gutiérrez-Vélez, V.H., DeFries, R.","23097855200;7003959711;","Annual multi-resolution detection of land cover conversion to oil palm in the Peruvian Amazon",2013,"Remote Sensing of Environment","129",,,"154","167",,78,"10.1016/j.rse.2012.10.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870290299&doi=10.1016%2fj.rse.2012.10.033&partnerID=40&md5=31fb128c2e1423cd009572896960c85a",Article,"Final","",Scopus,2-s2.0-84870290299
"Aziz, M.H.A., Bejo, S.K., Hashim, F., Ramli, N.H., Ahmad, D.","57211319746;8394157300;57202656008;57210707435;7006597524;","Evaluations of soil resistivity in relation to basal stem rot incidences using soil moisture sensor",2019,"Pertanika Journal of Science and Technology","27","S1",,"225","234",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073458593&partnerID=40&md5=fcfb233f561c710692f9d707bb97cfcc",Article,"Final","",Scopus,2-s2.0-85073458593
"Kinjo, H., Oshiro, N., Duong, S.C.","24284553800;7003630264;26326229900;","Fruit maturity detection using neural network and an odor sensor: Toward a quick detection",2015,"2015 10th Asian Control Conference: Emerging Control Techniques for a Sustainable World, ASCC 2015",,,"7244428","","",,1,"10.1109/ASCC.2015.7244428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957645319&doi=10.1109%2fASCC.2015.7244428&partnerID=40&md5=fc828252a824a515543d749480738867",Conference Paper,"Final","",Scopus,2-s2.0-84957645319
"Pamornnak, B., Limsirorattana, S., Chongcheawchamnan, M.","55616410000;55616102800;6603710418;","Oil extraction rate determination technique based on dielectric constant of palm fruit",2013,"Applied Mechanics and Materials","303-306",,,"498","501",,4,"10.4028/www.scientific.net/AMM.303-306.498","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874733142&doi=10.4028%2fwww.scientific.net%2fAMM.303-306.498&partnerID=40&md5=75ea3ba4482331e58001fdda027119a5",Conference Paper,"Final","",Scopus,2-s2.0-84874733142
"Lee, K.Y., Abbas, Z., Yeow, Y.K., Sharizan, N., Meng, C.E.","55549501700;7005822035;56023730400;57192036579;57219023469;","In situ measurements of complex permittivity and moisture content in oil palm fruits",2010,"EPJ Applied Physics","49","3",,"31201-p1","31201-p5",,15,"10.1051/epjap/2010007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996133374&doi=10.1051%2fepjap%2f2010007&partnerID=40&md5=dc1f89b64f91d20c20b656dcbfc312e5",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84996133374
"Geyer, M., Herold, B., Zude, M., Truppel, I.","7101696383;7005202811;16305972400;7801465547;","Non-destructive evaluation of apple fruit maturity on the tree",2007,"Vegetable Crops Research Bulletin","66",,,"161","169",,14,"10.2478/v10032-007-0018-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953277722&doi=10.2478%2fv10032-007-0018-4&partnerID=40&md5=380e2639af4ee255e79d4fe35557b10c",Article,"Final","",Scopus,2-s2.0-77953277722
"Hermawan, B., Agustian, I., Hasanudin, Herawati, R., Murcitro, B.G.","6507174534;57208755262;57205330440;57194599863;57217092062;","Spatiotemporal Variability in Soil Water Content Profiles under Young and Mature Oil Palm Plantations in North Bengkulu Regency",2021,"International Journal on Advanced Science, Engineering and Information Technology","11","1",,"259","265",,,"10.18517/ijaseit.11.1.9432","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102104634&doi=10.18517%2fijaseit.11.1.9432&partnerID=40&md5=e9db86000e73c8cb785721696a225d1f",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85102104634
"Noordin, I.R.M., Abdullah Idris, H., Taib, M.N., Md Sharif, J., Rosli, A.D., Zanal, A., Abdullah, A.T.","55232787700;7004172391;56216710600;55232351400;55781014300;55232351500;55232596600;","Investigation of oil palm ash microwave absorber for broadband application",2012,"Proceedings - 2012 IEEE 8th International Colloquium on Signal Processing and Its Applications, CSPA 2012",,,"6194724","232","235",,12,"10.1109/CSPA.2012.6194724","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861541196&doi=10.1109%2fCSPA.2012.6194724&partnerID=40&md5=ddb92611e5d643d697f1b125104cc6dd",Conference Paper,"Final","",Scopus,2-s2.0-84861541196
"Hamsa, C.S., Kanniah, K.D., Muharam, F.M., Idris, N.H., Abdullah, Z., Mohamed, L.","57204417155;6503862357;56403414900;55555766100;57204436590;57204431444;","Textural measures for estimating oil palm age",2019,"International Journal of Remote Sensing","40","19",,"7516","7537",,3,"10.1080/01431161.2018.1530813","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055466096&doi=10.1080%2f01431161.2018.1530813&partnerID=40&md5=8ab87ea964b122506e9f6c2a035706d2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85055466096
"Willis, L.B., Gil, G.A., Lee, H.L.T., Choi, D.-S., Schoenheit, J., Ram, R.J., Rha, C., Sinskey, A.J.","7005085399;55317405100;7501482158;49761077600;9040325000;35517089700;7003661795;35858283700;","Application of spectroscopic methods for the automation of oil palm culture",2008,"Journal of Oil Palm Research",,"SPEC. ISS. APRIL",,"1","13",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79953145704&partnerID=40&md5=e38b2f48ee644c9634e991b3709152c6",Article,"Final","",Scopus,2-s2.0-79953145704
"Isha, A., Akanbi, F.S., Yusof, N.A., Osman, R., Mui-Yun, W., Abdullah, S.N.A.","12645683900;57194687212;57187020900;55933604800;22236265700;57193252921;","An NMR metabolomics approach and detection of ganoderma boninense-infected oil palm leaves using MWCNT-based electrochemical sensor",2019,"Journal of Nanomaterials","2019",,"4729706","","",,5,"10.1155/2019/4729706","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073891624&doi=10.1155%2f2019%2f4729706&partnerID=40&md5=4f4433be25bc527f0a39b7b9439a9d61",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85073891624
"Keshvadi, A., Endan, J.B., Harun, H., Ahmad, D., Saleena, F.","37016351800;6507161972;33167669000;7006597524;36992585200;","The effect of surface color on palm oil quality during the ripening process of fresh fruits",2011,"Journal of Food, Agriculture and Environment","9","3-4",,"61","67",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80655130276&partnerID=40&md5=aa68398041f6a60a621992287c927652",Article,"Final","",Scopus,2-s2.0-80655130276
"Carolita, I., Rosid, M.S., Ibrahim, A., Dirgahayu, D., Noviar, H., Supriatna, J.","56237384100;57195201079;57225794601;56237296900;56237039200;57194437188;","Potential of PALSAR SCANSAR data for oil palm plantation in growth monitoring and mapping",2021,"IOP Conference Series: Earth and Environmental Science","739","1","012091","","",,,"10.1088/1755-1315/739/1/012091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105261179&doi=10.1088%2f1755-1315%2f739%2f1%2f012091&partnerID=40&md5=9dadbf83ccf4c7187fc5c67f74aa689f",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85105261179
"Hermawan, B., Suhartoyo, H., Anandyawati, Sukisno, Gonggo, B., Hasanudin, Agustian, I.","6507174534;57191276529;57208755680;57224433762;57208759086;57205330440;57208755262;","Spatial variability in soil water under adjacent mature oil palm and rubber plantations: Application of a new dielectric method in evaluating soil water",2019,"International Journal of Agricultural Technology","15","2",,"261","272",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065735993&partnerID=40&md5=828ae4d333c5cd99e84660ace98d76b9",Article,"Final","",Scopus,2-s2.0-85065735993
"Lopresti, J., Hale, G., Brady, S., Stefanelli, D.","24168772400;13410068400;55308891500;26647101700;","Effect of fruit maturity and cool storage on chilling injury in peach and nectarine",2015,"Acta Horticulturae","1084",,,"741","747",,2,"10.17660/actahortic.2015.1084.99","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940426178&doi=10.17660%2factahortic.2015.1084.99&partnerID=40&md5=2ed8df44f79e864b7844ed8c5411bf06",Article,"Final","",Scopus,2-s2.0-84940426178
"Shashikant, V., Shariff, A.R.M., Nordin, L., Pradhan, B.","55694861100;13612157400;6505958626;12753037900;","Above ground biomass estimation of oil palm tree using PALSAR",2013,"34th Asian Conference on Remote Sensing 2013, ACRS 2013","4",,,"2870","2873",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903489165&partnerID=40&md5=973e9601cae74f94035e8f9d0ed86b41",Conference Paper,"Final","",Scopus,2-s2.0-84903489165
"Aziz, N.H.A., Sarnin, S.S., Othman, K.A., Wahab, N., Misman, N., Hashim, A.T.","35408481100;35975322300;36240903800;35790572400;36998626300;35790029200;","Supervisory data acquisition of temperature and humidity in oil palm tissue culture laboratory",2010,"Proceedings - 2nd International Conference on Computational Intelligence, Modelling and Simulation, CIMSim 2010",,,"5701891","470","475",,3,"10.1109/CIMSiM.2010.74","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952083345&doi=10.1109%2fCIMSiM.2010.74&partnerID=40&md5=524829f47062d75377389ecfa88d33b0",Conference Paper,"Final","",Scopus,2-s2.0-79952083345
"Darmawan, S., Carolita, I., Hernawati, R., Dirgahayu, D., Agustan, Permadi, D.A., Sari, D.K., Suryadini, W., Wiratmoko, D., Kunto, Y.","36481113000;56237384100;57210921317;56237296900;22956983500;24605839300;36146184300;57222517633;57210911775;57223433501;","The Potential Scattering Model for Oil Palm Phenology Based on Spaceborne X-, C-, and L-Band Polarimetric SAR Imaging",2021,"Journal of Sensors","2021",,"6625774","","",,,"10.1155/2021/6625774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102982922&doi=10.1155%2f2021%2f6625774&partnerID=40&md5=08357fb6b1f4af99786ce64a9c13fc8f",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85102982922
"Ooi, Z.X., Ismail, H., Bakar, A.A.","36165752600;7102329732;55629696700;","The effect of oil palm ash loading on curing characteristics and tensile properties of natural rubber vulcanizates",2012,"8th Asian-Australasian Conference on Composite Materials 2012, ACCM 2012 - Composites: Enabling Tomorrow's Industry Today","1",,,"799","804",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893008102&partnerID=40&md5=58f5b619f09d831c33751b62f6ed56be",Conference Paper,"Final","",Scopus,2-s2.0-84893008102
"Ishida, R., Uchida, H., Hasegawa, Y., Iohara, K., Koizumi, D.","57203681811;7402051063;55791070500;7003504433;6506609727;","Ripeness evaluation of post harvest fruits using plant bioelectric potential",2018,"IEEJ Transactions on Sensors and Micromachines","138","9",,"423","429",,1,"10.1541/ieejsmas.138.423","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052626994&doi=10.1541%2fieejsmas.138.423&partnerID=40&md5=810443e3f41e66a9a78785e7bf8d16a3",Article,"Final","",Scopus,2-s2.0-85052626994
"Latif, H.A., Yahya, M.N., Zaman, I., Sambu, M., Ghazali, M.I., Hatta, M.N.M.","57163228000;55995246500;36544499800;57163822900;16315689900;57162751100;","Investigation on sound absorption of oil palm mesocarp natural fiber",2016,"ARPN Journal of Engineering and Applied Sciences","11","10",,"6508","6513",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84971468870&partnerID=40&md5=e150750dc5e48a0cb59a9cce6729dfa7",Article,"Final","",Scopus,2-s2.0-84971468870
"Sakurai, N., Terasaki, S., Akimoto, H.","55770412000;7003498305;45360907500;","Non-destructive determination of fruit maturity by a resonant vibration technique",2016,"Acta Horticulturae","1119",,,"171","178",,3,"10.17660/ActaHortic.2016.1119.23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978655759&doi=10.17660%2fActaHortic.2016.1119.23&partnerID=40&md5=52bb4e7969513de1bdac4320800e2978",Article,"Final","",Scopus,2-s2.0-84978655759
[No author name available],[No author id available],"Comparing apples and oranges: New sensors measure fruits' ripeness, helping prevent spoilage",2013,"Food Engineering and Ingredients","38","2-3",,"21","23",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880091340&partnerID=40&md5=106715568a7ddac3230de048dfb87d7d",Article,"Final","",Scopus,2-s2.0-84880091340
"Kassim, M.R.M., Harun, A.N.","54790880800;56102099800;","Using Wireless Sensor Network to determine pollination readiness of oil palm flower",2016,"Proceedings of the International Conference on Sensing Technology, ICST","2016-March",,"7438365","59","64",,7,"10.1109/ICSensT.2015.7438365","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964801365&doi=10.1109%2fICSensT.2015.7438365&partnerID=40&md5=dc5eee11a8a361dffc3dcbfd4be93b80",Conference Paper,"Final","",Scopus,2-s2.0-84964801365
"Amirruddin, A.D., Muharamand, F.M., Zaharah, A.R.","56572827000;56403414900;6602368799;","Evaluation of multiple proximal sensors for estimating nitrogen nutritional content of matured oil palm",2014,"Asian Journal of Plant Sciences","13","4",,"136","146",,6,"10.3923/ajps.2014.136.146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925620420&doi=10.3923%2fajps.2014.136.146&partnerID=40&md5=fef0efd251c97b75abfca5868b232b23",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84925620420
"Abdullah, H., Zanal, A., Taib, M.N., Noordin, I.R.M., Ali, W.K.W., Ariffin, R., Abdullah, S., Baharudin, R., Abdullah, A.T.","7004172391;55232351500;56216710600;55232787700;7004926710;36068821600;57189289955;55234412600;55232596600;","Microwave absorber coating material using oil palm ash",2012,"Advanced Materials Research","512-515",,,"1941","1944",,4,"10.4028/www.scientific.net/AMR.512-515.1941","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861650381&doi=10.4028%2fwww.scientific.net%2fAMR.512-515.1941&partnerID=40&md5=0ea3677f71d977b7b24449774285806f",Conference Paper,"Final","",Scopus,2-s2.0-84861650381
"Hawari, H.F., Saad, S.M., Samsudin, N.M., Md Shakaff, A.Y., Wahab, Y., Hashim, U.","55193221900;57202998396;55193191300;8721012500;6507764452;22633937800;","Sensory system for detection of Harumanis mango fruit maturity",2013,"ICCAS 2013 - 2013 IEEE International Conference on Circuits and Systems: ""Advanced Circuits and Systems for Sustainability""",,,"6671632","146","149",,3,"10.1109/CircuitsAndSystems.2013.6671632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893271821&doi=10.1109%2fCircuitsAndSystems.2013.6671632&partnerID=40&md5=6c06645e2f3c6db3941b8039df860786",Conference Paper,"Final","",Scopus,2-s2.0-84893271821
"Delgado, I.B., Colorado, L.A.M., Argüello Prada, E.J., Martínez-Santos, J.C.","57225800586;56682785300;55515784100;26325154200;","Irrigation system for oil palm in Colombia - an internet of things approach",2017,"Communications in Computer and Information Science","742",,,"300","311",,1,"10.1007/978-3-319-66963-2_27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030029940&doi=10.1007%2f978-3-319-66963-2_27&partnerID=40&md5=8634cfc92bc549a01e1c9e8a4b6b4a69",Conference Paper,"Final","",Scopus,2-s2.0-85030029940
